"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"M13181","GOBP_CELLULAR_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE","10/7046","17/16896",0.118358721119419,0.438113919943031,0.381995583370195,"PPIF/GSTO2/HSF1/HNRNPA1/ZFAND1/DHX36/SLC38A2/MKNK2/VCP/UROS",10
"M17231","GOCC_PRONUCLEUS","10/7046","17/16896",0.118358721119419,0.438113919943031,0.381995583370195,"CCNA2/AURKA/CENPF/SLC2A1/EZH2/HSF1/RIF1/TET3/HNRNPL/AKAP8",10
"M17927","GOMF_DNA_BINDING_BENDING","10/7046","17/16896",0.118358721119419,0.438113919943031,0.381995583370195,"FOXC1/HMGA1/LEF1/TOP2A/HMGB3/FOXL1/SAP30L/HMGB1/HMGB2/FOXD4",10
"M17947","GOMF_VOLTAGE_GATED_MONOATOMIC_ANION_CHANNEL_ACTIVITY","10/7046","17/16896",0.118358721119419,0.438113919943031,0.381995583370195,"ANO1/CLCN4/TMC4/VDAC3/CLCN3/CLCN5/GPR89B/GPR89A/VDAC1/CLCNKB",10
"M18314","GOMF_GDP_DISSOCIATION_INHIBITOR_ACTIVITY","10/7046","17/16896",0.118358721119419,0.438113919943031,0.381995583370195,"SH3BP4/GPSM2/CHML/GDI2/RANBP1/CCDC88A/EIF5/CHM/ARHGDIG/NGB",10
"M18798","GOMF_TRNA_SPECIFIC_RIBONUCLEASE_ACTIVITY","10/7046","17/16896",0.118358721119419,0.438113919943031,0.381995583370195,"ELAC1/ANG/RPP38/RPP40/POP4/POP1/RPP21/POP7/TSEN34/ELAC2",10
"M18869","GOMF_BIOACTIVE_LIPID_RECEPTOR_ACTIVITY","10/7046","17/16896",0.118358721119419,0.438113919943031,0.381995583370195,"LPAR1/S1PR1/GPR6/LPAR2/LPAR4/SPHK1/LPAR6/S1PR2/FFAR1/GPR3",10
"M23579","GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_ACTIVATION","10/7046","17/16896",0.118358721119419,0.438113919943031,0.381995583370195,"VSIG4/CX3CL1/FCGR2B/ADGRF5/BPI/NR1H3/GRN/LRFN5/PTPRC/IL31RA",10
"M24833","GOBP_DENDRITIC_TRANSPORT","10/7046","17/16896",0.118358721119419,0.438113919943031,0.381995583370195,"KIF5C/PURA/RAB17/STAU2/TRAK2/HNRNPU/KIF3B/FLOT2/KIF5B/KIFAP3",10
"M24983","GOBP_REGULATION_OF_AUTOPHAGOSOME_MATURATION","10/7046","17/16896",0.118358721119419,0.438113919943031,0.381995583370195,"ATG12/ADRB2/FYCO1/TMEM39A/ATG5/UBQLN4/CALCOCO2/SMCR8/RUBCN/CLEC16A",10
