"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"M16874","GOBP_REGULATION_OF_CELL_SHAPE",138,0.389099417492695,1.55387837226453,0.00275836381085782,0.0432338463405215,0.0369299228616929,3703,"tags=36%, list=17%, signal=30%","FAM171A1/COCH/CCL7/CCL2/CCL13/RHOV/CCL3/S100B/MYO10/PALM2AKAP2/CDC42EP4/F11R/RAC3/CDC42EP1/ITGB2/ANXA1/PARVB/HCK/NF2/RDX/DLG1/VEGFA/KIT/MSN/WDR1/RHOQ/PTK2/FGD1/GNA13/FMNL2/VIL1/CDC42SE1/MKLN1/TBCCD1/FBLIM1/TPM1/CFL1/SEMA4D/GAS2/CDC42EP3/RAC2/RHOG/MARK2/PHIP/LST1/ARHGAP18/CSF1R/CDC42SE2/CRK"
"M11656","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL",117,0.390685851995038,1.50072899109359,0.0027562844474191,0.0432338463405215,0.0369299228616929,5087,"tags=46%, list=24%, signal=35%","UCHL1/CDK1/UCHL5/USP13/USP45/USP1/OTULIN/TANK/USP18/UCHL3/USP28/SHMT2/USP25/USP5/USP31/TNFAIP3/SENP5/DESI1/ITCH/YOD1/SENP2/SENP3/USP2/USP21/JOSD1/USP24/VCPIP1/USP43/USP10/OTUD4/USP36/SENP1/BRCC3/OTUD6B/COPS5/OTUD5/OTUB1/VCP/KDF1/GPS1/USP14/STAMBPL1/OTULINL/COPS3/USP49/TOR1A/ZC3H12A/USP27X/STAMBP/USP39/TRIM21/TNIP1/PSMD14/COPS7B"
"M7823","GOBP_HOMOPHILIC_CELL_CELL_ADHESION",160,-0.380946440448814,-1.51198453866878,0.00276942172430225,0.0433459419951792,0.0370256738584244,3411,"tags=28%, list=16%, signal=24%","EMB/PCDHA9/PCDHA10/PCDH19/NEXN/PCDHB13/PCDHGC3/PCDH9/PCDH10/PTPRM/PCDH17/NECTIN2/PCDHGA4/ESAM/PCDHA12/CELSR3/PCDH20/CELSR2/CNTN4/CDH6/PCDH18/PCDHB14/PCDHB7/PECAM1/DCHS1/ROBO4/PCDHB3/PALLD/PCDHB4/CDH5/PTPRG/FAT3/PCDHB16/PTPRT/CELSR1/FAT4/AMIGO2/ROBO2/CDH11/PCDH7/RET/HMCN1/CEACAM5/CEACAM6/CLSTN2"
"M26637","GOMF_PATTERN_RECOGNITION_RECEPTOR_ACTIVITY",51,0.516460503631815,1.71438177535256,0.00278454963416969,0.043399083273007,0.0370710666110261,1797,"tags=29%, list=8%, signal=27%","MARCO/CLEC7A/CLEC4E/TLR2/CD14/AIM2/IFIH1/FCN1/SCARB1/CLEC4A/RIGI/TLR8/FCN3/PTAFR/CD207"
"M13593","GOBP_SMOOTH_MUSCLE_CONTRACTION",104,-0.427288123115859,-1.59792399389026,0.00278170838350134,0.043399083273007,0.0370710666110261,2377,"tags=27%, list=11%, signal=24%","NPY2R/FKBP1B/SULF1/PIK3C2A/SULF2/CNN1/ATP1A2/ADRB2/ACTA2/IRAG1/CAV1/F2R/ATP2B1/CTTN/BDKRB2/MYH11/EDNRB/HTR2B/ITGA2/APBB2/EDNRA/PTGER3/PRKG1/ADRA2A/KCNMA1/COMP/ABAT/NPNT"
"M12778","GOBP_REPRODUCTIVE_SYSTEM_DEVELOPMENT",304,-0.337076960232379,-1.4392658017886,0.00277779227317455,0.043399083273007,0.0370710666110261,2663,"tags=22%, list=12%, signal=20%","HOXA10/EREG/UBE3A/HSD17B4/ALOX15B/KDR/CTNNA1/WNT5A/TIPARP/DNAAF3/SULF1/DNAAF11/NKX3-1/INHBA/ACVR2A/TNC/ARID4A/ANTXR2/RHOBTB3/HOXA9/MMP2/DHCR24/IRX5/AFP/CGA/BIK/NR5A2/PATZ1/CCND1/SLIT3/WT1/NRIP1/ANG/WDR19/INHBB/NR2F2/CCNO/BMPR1B/BMP4/TGFBR1/GREB1L/LEP/LRP2/RBP4/TMF1/RARA/FZD4/BCL2/ROBO2/SYCP2/IGF1/LFNG/FRS2/SLIT2/ZFPM2/FST/PRLR/SFRP2/KITLG/TBX3/CRIP1/PGR/GATA3/GFRA1/ESR1/AR/FOXA1"
"M10352","GOBP_CELLULAR_RESPONSE_TO_VIRUS",76,0.447121609396798,1.61973633720365,0.00279020928789767,0.0434263007963541,0.0370943155495956,4910,"tags=43%, list=23%, signal=34%","MMP12/CXCL10/RIOK3/IFIH1/OAS1/CCL5/IFI44/EIF5A/RRP1B/IFNG/CALR/IL10RB/IRF5/IKBKE/IFI6/IFNAR2/MAPK14/IL12A/IL6/EXT1/ARF1/POU2AF1/LGALS9/FMR1/IFNL2/IRF3/NLRP3/DDX3X/ZC3H12A/IFNL1/IFNA10/TLR7/BAX"
"M24299","GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE",27,0.585086589291944,1.69688380874599,0.00281173649735108,0.0436104640636301,0.0372516259864438,4501,"tags=52%, list=21%, signal=41%","PFKP/ENO1/FOXK2/TPI1/PGK1/HK3/GALK1/ADPGK/GAPDH/PFKL/FOXK1/HK2/BCL2L13/ENO3"
"M37544","HP_APLASIA_HYPOPLASIA_OF_THE_OVARY",97,-0.431954091959247,-1.59120923367204,0.00280635002896535,0.0436104640636301,0.0372516259864438,2520,"tags=25%, list=12%, signal=22%","ZSWIM7/ARL6/BBS10/WDPCP/FGFR1/DUSP6/IFT27/BBS1/LZTFL1/MAP3K1/WT1/NDNF/CEP290/CPLX1/TTC8/LEP/BBIP1/WDR11/BBS4/TP63/LEPR/SETBP1/ZFPM2/AR"
"M34776","HP_ABNORMALITY_IRIS_MORPHOLOGY",461,-0.30440271270533,-1.35332973914478,0.00281383187073616,0.0436104640636301,0.0372516259864438,3105,"tags=23%, list=15%, signal=20%","SPEN/RAI1/MMP23B/LARGE1/PRR12/MAFB/FGFR2/CEP120/ADAMTSL1/PEX1/MITF/GNAQ/LPAR6/BTRC/TRIM37/AKT1/UBE3A/DLL1/BRCA1/POGZ/ESAM/NF1/SRD5A3/RERE/EPG5/PDE4D/DISP1/PRDM16/SDHA/SMAD3/TMEM237/XYLT2/TCTN1/NDP/TXNDC15/FGFR1/OFD1/RXYLT1/ASPH/TGFBR2/ACTA2/PTEN/COL8A2/HSPG2/MMP2/MAF/ARL3/VPS13B/TOGARAM1/TMEM67/PMP22/ZEB2/SNRPN/TFAP2A/SNAI2/ARSG/SIN3A/LYST/DACT1/WT1/EFEMP2/SALL2/LAMB2/IGF1R/C1QTNF5/CEP290/LOXL1/CPLX1/LOX/SOX2/LTBP2/NDN/GJA1/BMP4/TGFBR1/NR4A2/MYH11/LRP2/TCEAL1/EDNRB/ADGRV1/RBP4/CHRDL1/BCOR/KANSL1/FZD4/COX7B/H19/HHAT/ITPR1/PIK3R1/TP63/CASZ1/TEK/GPC3/ARMC9/SPRED2/ZEB1/PRKG1/ZNF423/TGFB3/FBN1/MFAP5/KITLG/COL3A1/RET/THSD4/MLPH"
"M48458","GOBP_POSITIVE_REGULATION_OF_GLYCOGEN_BIOSYNTHETIC_PROCESS",16,-0.697145626548763,-1.78775800042159,0.00282437694816913,0.0437128465743834,0.0373390801119622,2607,"tags=50%, list=12%, signal=44%","AKT1/DYRK2/PPP1R3E/EPM2AIP1/SORBS1/IRS1/IGF1/IGF2"
