"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"M41507","HP_ANGULAR_CHEILITIS",14,0.770658007736395,1.81033652793016,0.00194057571480735,0.0345659208783582,0.0302144212417838,649,"tags=43%, list=3%, signal=42%","KRT16/DSC3/KRT6B/KRT17/KRT6A/GJB6"
"M37308","HP_GENERALIZED_NEONATAL_HYPOTONIA",22,-0.69954200381254,-1.81251032096461,0.00194870647435764,0.0345897235172056,0.0302352273692795,2910,"tags=45%, list=14%, signal=39%","MECP2/MTHFR/TBC1D24/ADNP/PSMD12/PEX12/ITPR1/BPTF/GDAP1/EEF1A2"
"M18641","GOMF_MHC_CLASS_I_PROTEIN_BINDING",19,0.710579590184358,1.80947382034835,0.00194767624638242,0.0345897235172056,0.0302352273692795,4479,"tags=68%, list=21%, signal=54%","LILRB2/TAP1/LILRB1/CD8A/PILRA/KLRC4-KLRK1/KLRK1/CD8B/HLA-E/TAPBP/TUBB/DERL1/VCP"
"M15189","GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION",124,0.432400286164936,1.55670961183261,0.00195126312713082,0.0345897235172056,0.0302352273692795,2726,"tags=31%, list=13%, signal=28%","SFRP1/CDK6/LTF/LYN/UBASH3B/CEACAM1/LILRB1/MYC/CCL3/PPARGC1B/LILRB4/TNFRSF11A/QKI/CCR1/TNF/POU4F1/HCLS1/C1QC/CEBPB/SLC9B2/IFNG/TNFRSF11B/PTPN2/CSF1/CORO1C/EVI2B/PRKCA/TYROBP/HLA-DRB1/LILRB3/CUL4A/CD74/IL23A/RASSF2/TLR4/LIF/DLK1/NOTCH2/TNFSF11"
"M40335","GOBP_REGULATION_OF_HYPERSENSITIVITY",10,0.809732971079845,1.76229763964939,0.00195697299926848,0.0346356130349,0.0302753398610913,3090,"tags=90%, list=14%, signal=77%","FCGR2B/FCER1G/FCGR1A/CCR7/HLA-E/FUT7/C3/BTK/SPN"
"M35982","HP_RECURRENT_ABSCESS_FORMATION",22,0.673002527463922,1.76019663064745,0.00196708417615066,0.0347591291444967,0.0303833065424545,2869,"tags=50%, list=13%, signal=43%","CTSC/GJB6/NCF2/LCP2/SYK/CD247/CD3D/TTC7A/FCN3/STAT3/BTK"
"M24591","GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS",179,0.392196033060469,1.4900004750313,0.00197674604110455,0.0348743256250193,0.0304840009518507,3199,"tags=27%, list=15%, signal=23%","PSAT1/IDO1/PFKP/UCHL1/CD38/LDHB/PPARA/DDIT4/PDXK/NAMPT/ME2/FMO2/SLC2A6/ALDH1L2/MTAP/KMO/IFNG/ENO1/PRKAA1/PRXL2C/HK3/PGM1/SLC25A51/ME1/KYNU/GPI/NNT/RPIA/IDH2/DHTKD1/TIGAR/OGDHL/ADPGK/PGK1/PFKFB2/FOXK1/PRPS2/MTCH2/STAT3/HIF1A/OGT/ALPL/SLC25A13/PNP/P2RX7/PRKAG2/SLC4A4/APP/DERA"
"M38859","HP_SEPSIS",128,0.416506356845551,1.50732994086257,0.00198154803038707,0.0349035531638179,0.0305095490392929,3820,"tags=42%, list=18%, signal=35%","KRT5/PKP1/IGHM/IGKC/IL7R/CYBB/NRTN/LAMC2/FCGR3B/AK2/C1QB/NCF1/GJB6/CTLA4/NCF2/LAMB3/NCF4/CXCR4/CYBA/PIK3CD/IL2RG/IKZF1/DCLRE1C/CHD7/DOCK8/HLA-B/TCF3/CD27/NFKB2/RAC2/TGM1/TFRC/ADA/SASH3/EDN3/FERMT3/ACTG2/CD79B/PGM3/BTK/SERAC1/YARS1/CD79A/PSMB10/HMOX1/SMO/GALM/LIG4/MYD88/HYOU1/RFX5/SPI1/KRT14/GALT"
"M37982","HP_ABNORMAL_NEUTROPHIL_MORPHOLOGY",242,0.36239133317651,1.42324361662593,0.00200506232402474,0.0352617695874842,0.0308226696403169,4217,"tags=37%, list=20%, signal=30%","IGHM/IL7R/FAS/TLR8/FCGR3B/NABP1/LBR/PRF1/ETV6/IL1RN/CTLA4/RELB/MSN/SAMD9L/RPS24/CXCR4/PIK3CD/RAB27A/IFNG/IRF8/ICOS/KIT/FBXL4/TRAC/SH2D1A/STX11/STAT1/CBL/FANCA/NRAS/TCF3/CD40/OTULIN/USB1/RAC2/TBL1XR1/TPP2/TFRC/CDC40/ASXL1/FANCE/PML/FANCG/SASH3/FASLG/CIITA/RFXAP/TCN2/UNC13D/CXCR2/TARS1/FANCD2/STAT3/CD79B/FH/PGM3/ICOSLG/PNP/BTK/ARPC5/GTF2E2/KRAS/FANCI/SLC30A7/MAD2L2/TFR2/STAT4/CD79A/PIK3CG/CARS1/ANAPC1/ITCH/ADA2/NCAPG2/DOCK11/IRF2BP2/MYD88/SLC35C1/RFX5/SPI1/FANCC/RPS19/UNC93B1/CASP10/CLPB/MYSM1/HEATR3/SLC19A1/TET2"
"M15584","GOBP_POSITIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS",12,0.787385714673735,1.78589654540286,0.00204550072145378,0.0359160150410959,0.0313945522121862,2653,"tags=58%, list=12%, signal=51%","IDO1/CCL5/CD274/TGFB2/PERP/LGALS9/ADAM8"
